event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00250,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00251,pre_only,8,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00252,pre_only,8,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00253,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00254,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00255,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00256,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00257,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00258,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00259,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00260,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00261,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00262,pre_only,7,4,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00263,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00264,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00265,pre_only,5,3,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00266,pre_only,3,2,0.0,0.6666666666666666,1.0,30,1,elasticsearch
elasticsearch-ev00267,pre_only,6,3,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00268,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00269,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00270,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00271,pre_only,8,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00272,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00273,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00274,pre_only,8,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00275,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00276,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00277,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00278,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
